CloneOf;Name;Description;Year;Manufacturer
;005;005;1981;Sega
;09825_67907;Hewlett-Packard HP-09825-67907;;
;100lions;100 Lions (10219211, NSW/ACT);2006;Aristocrat
;10yard;10-Yard Fight (World, set 1);1983;Irem
10yard;10yard85;10-Yard Fight '85 (US, Taito license);1985;Irem (Taito license)
10yard;10yardj;10-Yard Fight (Japan);1983;Irem
;110dance;Retro Dance Mat (110 song Super StepMania + 9-in-1 games) (PAL);200?;<unknown>
;11beat;Eleven Beat;1998;Hudson
;1292apvs;1292 Advanced Programmable Video System;1976;Radofin
;136094_0072;Atari 136094-0072 XGA;;
;136095_0072;Atari 136095-0072 XGA;;
1292apvs;1392apvs;1392 Advanced Programmable Video System;1976;Radofin
;15lions;15 Lions (10166211, Queensland);2004;Aristocrat
;18w;18 Wheeler (set 1);1979;Midway
18w;18w2;18 Wheeler (set 2);1979;Midway
;18wheelr;18 Wheeler: American Pro Trucker (deluxe, Rev A);2000;Sega
18wheelr;18wheelro;18 Wheeler: American Pro Trucker (deluxe);2000;Sega
18wheelr;18wheelrt;18 Wheeler: American Pro Trucker (deluxe, Rev T);2000;Sega
18wheelr;18wheels;18 Wheeler: American Pro Trucker (standard);2000;Sega
18wheelr;18wheelu;18 Wheeler: American Pro Trucker (upright);2000;Sega
;1941;1941: Counter Attack (World 900227);1990;Capcom
1941;1941j;1941: Counter Attack (Japan);1990;Capcom
1941;1941r1;1941: Counter Attack (World);1990;Capcom
1941;1941u;1941: Counter Attack (USA 900227);1990;Capcom
;1942;1942 (Revision B);1984;Capcom
1942;1942a;1942 (Revision A);1984;Capcom
1942;1942abl;1942 (Revision A, bootleg);1984;bootleg
1942;1942b;1942 (First Version);1984;Capcom
1942;1942h;Supercharger 1942;1991;hack (Two Bit Score)
1942;1942p;1942 (Tecfri PCB, bootleg?);1984;bootleg
1942;1942w;1942 (Williams Electronics license);1985;Capcom (Williams Electronics license)
;1943;1943: The Battle of Midway (Euro);1987;Capcom
1943;1943b;1943: Battle of Midway (bootleg, hack of Japan set);1987;bootleg
1943;1943bj;1943: Midway Kaisen (bootleg);1987;bootleg
1943;1943j;1943: Midway Kaisen (Japan, Rev B);1987;Capcom
1943;1943ja;1943: Midway Kaisen (Japan);1987;Capcom
1943;1943jah;1943: Midway Kaisen (Japan, no protection hack);1987;Capcom
;1943kai;1943 Kai: Midway Kaisen (Japan);1987;Capcom
;1943mii;1943: The Battle of Midway Mark II (US);1987;Capcom
1943;1943u;1943: The Battle of Midway (US, Rev C);1987;Capcom
1943;1943ua;1943: The Battle of Midway (US);1987;Capcom
;1944;1944: The Loop Master (Euro 000620);2000;Eighting / Raizing (Capcom license)
1944;1944d;1944: The Loop Master (USA 000620 Phoenix Edition) (bootleg);2000;bootleg
1944;1944j;1944: The Loop Master (Japan 000620);2000;Eighting / Raizing (Capcom license)
1944;1944u;1944: The Loop Master (USA 000620);2000;Eighting / Raizing (Capcom license)
;1945kiii;1945k III (newer, OPCX2 PCB);2000;Oriental Soft
1945kiii;1945kiiin;1945k III (newer, OPCX1 PCB);2000;Oriental Soft
1945kiii;1945kiiio;1945k III (older, OPCX1 PCB);1999;Oriental Soft
39in1;19in1;19 in 1 MAME bootleg (BAR-V000);2004;bootleg
